COMUNE;COMUNE ADIACENTE;Provincia;Regione;Provincia comune vicino;Regione comune vicino;Zona appertenenza protezione civile;Sigla provincia
Agazzano;Borgonovo Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Agazzano;Gazzola;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Agazzano;Gragnano Trebbiense;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Agazzano;Pianello Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Agazzano;Piozzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Alseno;Besenzone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Alseno;Castell'Arquato;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Alseno;Fiorenzuola d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Alseno;Vernasca;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Alseno;Busseto;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H1;PC
Alseno;Fidenza;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H1;PC
Alseno;Salsomaggiore Terme;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H1;PC
Alta Val Tidone;Colli Verdi;Piacenza;Emilia-Romagna;Pavia;Lombardia;H1;PC
Alta Val Tidone;Golferenzo;Piacenza;Emilia-Romagna;Pavia;Lombardia;H1;PC
Alta Val Tidone;Romagnese;Piacenza;Emilia-Romagna;Pavia;Lombardia;H1;PC
Alta Val Tidone;Santa Maria della Versa;Piacenza;Emilia-Romagna;Pavia;Lombardia;H1;PC
Alta Val Tidone;Volpara;Piacenza;Emilia-Romagna;Pavia;Lombardia;H1;PC
Alta Val Tidone;Zavattarello;Piacenza;Emilia-Romagna;Pavia;Lombardia;H1;PC
Alta Val Tidone;Bobbio;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Alta Val Tidone;Borgonovo Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Alta Val Tidone;Pianello Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Alta Val Tidone;Piozzano;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Alta Val Tidone;Travo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Alta Val Tidone;Ziano Piacentino;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H1;PC
Besenzone;Alseno;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Besenzone;Cortemaggiore;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Besenzone;Fiorenzuola d'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Besenzone;Villanova sull'Arda;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;H2;PC
Besenzone;Busseto;Piacenza;Emilia-Romagna;Parma;Emilia-Romagna;H2;PC
Bettola;Coli;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Bettola;Farini;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Bettola;Gropparello;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Bettola;Morfasso;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Bettola;Ponte dell'Olio;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Bettola;Travo;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Bettola;Vigolzone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
Bobbio;Brallo di Pregola;Piacenza;Emilia-Romagna;Pavia;Lombardia;G2;PC
Bobbio;Menconico;Piacenza;Emilia-Romagna;Pavia;Lombardia;G2;PC
Bobbio;Romagnese;Piacenza;Emilia-Romagna;Pavia;Lombardia;G2;PC
Bobbio;Santa Margherita di Staffora;Piacenza;Emilia-Romagna;Pavia;Lombardia;G2;PC
Bobbio;Alta Val Tidone;Piacenza;Emilia-Romagna;Piacenza;Emilia-Romagna;G2;PC
